question,answer
does covid-19 affect animals?,"for more complete guidance on covid-19 and pets, please click here."
"if i have covid-19, when can i end home isolation?",people with covid-19 who have stayed home (are home isolated) can stop home isolation under the following conditions.
do the telemedicine requirements for no-fault automobile insurance apply to existing claims or only new claims?,"the workers’ compensation board issued two emergency regulations regarding telemedicine under no-fault coverage. the first emergency regulation applies to all no-fault automobile insurance claims with a date of service between march 16, 2020 and april 19, 2020. the second emergency regulation regarding telemedicine applies to all no-fault automobile insurance claims with a date of service on or after april 20, 2020 and through july 19, 2020."
join a group of working professionals in your field.,"if you work in a fairly popular field, you may be able to find other professionals in the same position as yourself. try searching for your profession and your city to see if there are other people in your field that may want to work at a coffee shop or cafe a few times a month. this is also a great way to network with other professionals in your field."
my hours have been reduced because the school where i am employed has altered its operating schedule due to covid-19. am i eligible for uc?,"if you are a school employee who is working reduced hours resulting in a reduction in income because of the covid-19 emergency, you may be eligible for uc.if you are a salaried employee and continue to receive your regular salary payments and benefits during the covid-19 shutdown, you are not considered unemployed and should not file a claim for benefits."
what is the risk of covid-19 infection from food products imported from affected areas?,"there has been no report of transmission of covid-19 via food, and therefore there is no evidence that food items imported into the european union in accordance with the applicable animal and public health regulations pose a risk for the health of eu citizens in relation to covid-19. the main mode of transmission is from person to person. covid-19 and animals"
get emergency care if you develop severe symptoms.,"try not to worry, but covid-19 can cause serious symptoms and you may develop pneumonia, which can be life-threatening. get immediate medical attention if you develop any severe symptoms , which are: difficulty breathing or severe shortness of breath persistent pain or pressure in the chest new confusion or inability to arouse bluish lips or face. this list is not all inclusive, so consult with a medical provider if you experience any other symptoms that are severe or concerning."
how does the temporary guidance regarding packaging and labeling of shell eggs help during covid-19?,fda issued this guidance to provide temporary flexibility regarding certain packaging and labeling requirements for shell eggs sold in retail food establishments so that industry can meet the increased demand for shell eggs during the covid-19 pandemic. see the constituent update (fda provides temporary flexibility regarding packaging and labeling of shell eggs sold to consumers by retail food establishments during covid-19 pandemic) for more information.
thermal scanners can diagnose coronavirus,"thermal scanners can detect whether or not someone has a fever. however, other conditions, such as seasonal flu, can also produce a fever. in addition, symptoms of covid-19 can appear 2–14 days after infection, which means that someone who has the virus could have a normal temperature for a few days before a fever begins."
is there a treatment?,there is no specific antiviral treatment for covid-19. studies are currently ongoing to determine the efficacy of different antiviral treatments. people with covid-19 can seek medical care to help relieve symptoms.
share productive treatment and prevention options.,"tell your loved ones that there are plenty of practical, easy ways to prevent the spread of covid-19. remind your friends and family that wearing a mask or face covering is an easy way to prevent the spread of germs, as is frequent hand washing or hand sanitizing, and social distancing."
are there opportunities for veterans to contribute as volunteers during the covid-19 pandemic?,"all volunteers are encouraged to visit www.michigan.gov/fightcovid19 to register as a volunteer. this site will allow volunteers to register in the most appropriate area (local volunteer, medical volunteer, public health volunteer, etc.)."
how long will peuc be available?,"peuc is available beginning the week ending april 4, 2020 through the end of the year. however, because pennsylvania considers a week of unemployment to end on a saturday, the last week that peuc may be paid in the commonwealth is the week ending december 26, 2020."
what are the treatments?,there is no specific antiviral treatment recommended for covid-19 infection. people infected with covid-19 should receive supportive care to help relieve symptoms. learn about covid-19 treatment.
urge your family member to distance themselves from coworkers if they can.,"even though your family member has to go out in public, they can still practice social distancing at work. ask them to stay at least 6 feet (1.8 m) away from their coworkers and other people if they’re able to. encourage them to limit physical contact with others so they’re less likely to catch or transmit the virus."
when may businesses in the construction supply chain open?,businesses in the construction supply chain who are not currently considered a life-sustaining business may again begin operations when the county in which they are located enters ‘yellow’ in the phased approach to re-opening.
can i continue to take training?,"yes you can! while all csps classroom courses have been suspended until further notice csps does have all of its online courses available, including self-paced required training and language maintenance tools, which remain available through your gccampus account. note: gccampus is accessible through public networks. you do not need to connect to the gc network to access it."
are there any visitation restrictions at long-term care facilities?,"yes, visitation in skilled nursing facilities and combination homes, which are nursing homes with assisted living facilities, is restricted to compassionate care situations."
what is the caf posture on resuming volunteer firefighting duties in their community?,there are presently no caf-level restrictions on volunteer firefighting. we ask that you re-engage with your local chain-of-command to ensure there are no restrictions that are specific to your region.
how do states get remdesivir?,gilead sciences has donated a supply of this medication which has been distributed by the u.s. department of health and human services to specific hospital systems and states. it is expected that future shipments of remdesivir under the eua will only be distributed to states for further allocation within each state.
put a teddy bear or stuffed animal in your window.,"some communities are putting teddy bears in windows so that kids can go on scavenger hunts or ""safaris"" and find bears.  feel free to get creative and dress up your bear or add a poster with art or a fun message."
what is the government doing to protect staff working and travelling abroad?,"please visit 2019 novel coronavirus: latest travel advice for up-to-date travel information on areas where non-essential travel should be avoided or others where all travel should be avoided. if you have travel concerns, you should discuss these with your manager."
"is there a way to address the disparity of work functions and time on duty during the covid-19 crisis? some worked minimally, some worked from home, and others worked longer hours than normal due to the shortage of personnel at the workplace and increased duties to support the pandemic.","l1s created business continuity plans based on protecting the safety of our defence team members and maintaining critical operations. these arrangements are not permanent and as we move through business resumption, the situation will start to return to normal work flows. those who worked longer hours than normal during these times will be compensated in accordance with their collective agreements and should talk to their supervisors about ensuring all overtime is properly tracked."
how do the secretary’s order and the governor’s proclamation differ?,"the secretary’s order applies to individuals, requiring people (with some exceptions) to wear masks inside public places, or when outside and unable to maintain at least six feet of physical distance. it asks each of us to do our part to protect others. the governor’s proclamation requires businesses to provide services and goods only to customers wearing masks."
video chat with family and friends to stay connected.,"if you can't leave the house because of bad weather or a mandatory quarantine, everyone might start to feel isolated and bored, which can quickly lead to frustration and arguments. to help avoid the dangers of isolation and loneliness, set up a computer or tablet in a central area of your home and frequently call your loved ones and child's friends to video chat. for instance, you might let each child call their best friend for 30 minutes a day."
avoid touching the mask while you’re wearing it out.,"the mask could have germs trapped on it, which might get on your hands if you touch it. do your best to avoid touching or adjusting the mask while you’re out to avoid contaminating your hands. if you do accidentally touch the mask while you’re wearing it or have to adjust it, sanitize your hands afterward."
are there any guidelines for ce providers?,"difs will work diligently to update this listing of frequently asked questions (faqs), which will provide interim guidance during this time."
will a disinfectant help?,"using disinfectant to clean surfaces that are touched regularly in your house will help to kill the virus. the virus can last about 12 hours on hard surfaces, so disinfectant will help to get rid of it."
what are the symptoms?,"symptoms may appear 2-14 days after exposure to the virus. people with these symptoms or combinations of symptoms may have covid-19: cough shortness of breath or difficulty breathing fever chills muscle pain sore throat new loss of taste or smell other less common symptoms include nausea, vomiting, or diarrhea"
where can i find out more information about nutrition assistance available during the national emergency?,"the latest information is available at www.fns.usda.gov/coronavirus, including a state-by-state breakdown of flexibilities available in each nutrition assistance program."
sit on your hands if you’re tempted to touch or pick while you’re sitting.,"whether you’re sitting in class or at the dinner table, try sitting on your hands when you’re not using them to eat or take notes. designating a place for your hands to be (other than your face) will help you break the habit, especially if you touch or pick your face absentmindedly. as an alternative, lace your fingers together and set them on your lap or the table instead of leaning your face in your hands."
what is remdesivir?,"remdesivir is an investigational drug being studied as a treatment for covid-19. gilead sciences inc., the pharmaceutical company that makes remdesivir, received an emergency use authorization (eua) from the u.s. food and drug administration on may 1, 2020 to allow the medication to be utilized by hospitalized covid-19 patients with severe disease."
solve puzzles to keep your mind sharp.,"puzzles are a great way to keep your critical thinking skills engaged, even if you end up not working or doing schoolwork for a while. for instance, you might download a crossword puzzle app, buy a sudoku book, or put together a particularly challenging jigsaw puzzle if you have the space for it."
how do laboratories conducting covid-19  diagnostic tests report results?,laboratories conducting covid-19 diagnostic tests are required to  follow reporting guidelines outlined in the  order of the health officer no. c19-4.
can contact tracing help in controlling spread of the virus?,"yes, when systematically applied, contact tracing will break the chains of transmission, meaning that the virus transmission can be stopped. contact tracing is thus an essential public health tool for controlling infectious disease outbreaks, such as covid-19."
should asymptomatic hcp who are tested as part of facility-wide testing be excluded from work while waiting for test results?,"if hcp remain asymptomatic, they may continue working while awaiting test results, unless work restrictions have been implemented by the occupational health program because of an exposure warranting exclusion from work."
"as a recipient, what information should be included in rpprs due in the next 90 days related to covid-19?",recipients should document any covid-19 effects and outline any research outcomes that are not available at the time of reporting.  recipients should outline when they believe they will be able to include details related to the disruptions to the research efforts.
add novelty to family life.,"if you can afford it, try bringing home a new toy or activity book that your child can use. try a new activity or an activity that your child hasn't done in a while."
keep visitors out of your home until your family member recovers.,"if someone in your house is sick, don’t allow any visitors into your home. if you do, they'll be at risk of getting sick. notify potential visitors that your house is off-limits for the time being."
do in-home services staff (i.e. cna's and hca's) need new training for covid-19?,"agencies should have an emergency preparedness plan and may need to change it for covid-19. tell staff about important p&ps, review doh's 2019 novel coronavirus outbreak (covid-19) webpage, and talk with staff more often."
the state’s july 13 order closed indoor shopping malls in santa clara county. do strip malls count as indoor     malls? what about “anchor stores” and stores that have outdoor entrances separate from the interior of the     mall?,"although the state has ordered the closure of indoor shopping malls in santa clara county, it has confirmed that the   closure “would not apply if the stores have an outdoor entrance.” the state further confirmed that “[a]nchor   stores in malls, with separate outdoor entrances[,] may remain open as regular retail.”"
can a worker be disciplined by an employer if they wear a face covering even if a wearing a face covering is not required?,"no, executive order 20-54 provides that an employer cannot discriminate or retaliate against a worker for wearing a face covering that the worker has personally acquired as long as the face covering does not violate industry standards or existing employer policies related to health, safety, or decency."
what has ahcccs done to date to supply financial relief to providers impacted by the covid-19 emergency?,"in addition to the federal relief that is being disseminated or will soon be disseminated directly to providers through the cares act* and another covid funding package that is currently making its way through the legislative process**, ahcccs has taken many actions to provide financial relief to arizona medicaid providers, including:"
how effectively do cloth face coverings prevent the spread of covid-19?,"the primary role of cloth face coverings are to reduce the release of infectious particles into the air when someone speaks, coughs, or sneezes, including someone who has covid-19 but may not show symptoms. cloth face coverings are not a substitute for washing hands, physical distancing while performing essential activities, and staying home, but they may be helpful when combined with these actions."
can families still apply for the childcare subsidy?,yes. families can still apply for the child development and care program (commonly called the childcare subsidy) at newmibridges.michigan.gov.
am i at risk for covid-19 in the united states?,this is a rapidly evolving situation and the risk assessment may change daily. the latest updates are available on cdc's coronavirus disease 2019 (covid-19) website. source: centers for disease control and prevention drafted 11 march 2020
when is a person infectious?,"the infectious period may begin one to two days before symptoms appear, but people are likely most infectious during the symptomatic period, even if symptoms are mild and very non-specific. the infectious period is now estimated to last for 7-12 days in moderate cases and up to two weeks on average in severe cases."
do we isolate in-home services clients/patients if they have been exposed to a person with covid-19? what about isolation in an in-home setting?,"contact your local health department about exposure and testing. if a client does have covid-19 local health will decide if quarantine is needed, and where it should be."
i filled out my social distancing protocol and pressed “finish.” what happens now? how do i access and print     the completed documents?,"if you filled out every required box, after you press “finish,” an email will be sent to the email address you   entered at the beginning of the submission process before you began to fill out the form (the email for the   “submitter”). this email will contain a link that says “view completed documents.” click this link to view and print   your completed social distancing protocol and signage."
i heard about antiviral medications available for covid-19.,"medications, such as remdesivir and others, are being evaluated as potential treatments for covid-19. at this time, there are no fda-approved medications available to treat covid-19. please consult a licensed physician or other healthcare provider for additional recommendations about disease treatment."
should sidewalks and roads be disinfected to prevent covid-19?,cdc does not recommend disinfection of sidewalks or roads. spraying disinfectant on sidewalks and roads is not an efficient use of disinfectant supplies and has not been proven to reduce the risk of covid-19 to the public. the risk of spreading the virus that causes covid-19 from these surfaces is very low and disinfection is not effective on these surfaces.
what are the requirements for face coverings at colleges and dorms?,"we are finalizing guidance for higher education institutions. face coverings will be required in common areas, including cafeterias except while eating. face coverings will not be required in closed dorm rooms."
are behavioral health technicians (bhts) permitted to provide services via telehealth modalities (including telephonically)?,"yes, bhts can utilize telehealth modalities to provide behavioral health services. ampm 320-o behavioral health assessments and treatment/service planning and 310-b -title xix/xxi behavioral health service benefit outline requirements for service delivery by bhts, including clinical oversight requirements."
slide two hair elastics or loops of elastic over the ends of the folded fabric.,place the bands approximately 5 inches (13 cm) in from the ends.
what documentation do i need to show my previous income?,acceptable documentation of wages can include but is not limited to:2019 tax returns; your 2019 1099 form(s);paycheck stubs; bank receipts;ledgers; contracts; invoices; and/orbilling statements.
hang out with your friends virtually.,"not being able to see your friends during college is super tough, especially if you still need to socially distance yourself. try to hang out with your friends online through virtual meeting platforms to get some social interaction while staying safe. zoom and skype are both free virtual meeting platforms that can host multiple people."
balance your exercise.,"perhaps one day you exercise too much and your thighs, arms, and back are hurting, so do a lighter exercise the next day. science has proven that doing light exercises every day can help build and repair your muscles and tissues, bringing strength within you. you can lose a lot of weight and fat by doing light exercises on one day, and do a slightly harder exercise the next."
i would like to donate masks to health care workers during the covid-19 pandemic. how can you help me with my donation?,"the fda does not purchase or distribute masks. if you are interested in donating masks, please see covid-19 offer of medical supplies or equipment."
carry your own disinfecting wipes for carts or baskets.,"while many stores have disinfecting wipes available, it's better to bring your own just in case. wipe down the handles of a cart or basket before you use it, then throw your wipe away in the nearest trash can. if you have children with you, wipe down the area where they'll be sitting as well as any other part of the cart that they might touch while sitting in it or walking beside you."
splash around in an inflatable pool to cool off.,"if you’ve got warm weather and no place to go, relax by climbing into a backyard pool. if you don’t have a pool, you can order an inflatable one online and set it up in minutes. all you need is an electric air pump and a water hose! toss in some inflatable beach balls or a shoot ball hoop for extra fun."
i am a naturalized or authorized worker. how should i submit my documentation to receive unemployment benefits?,"every naturalized or authorized worker must email or mail legible copies of the front and back of their social security card and employment (work) authorization document within 14 calendar days to be eligible to receive benefits. if sending the documents via email, please send to greencard@pa.gov with the email subject as: first & last name.if mailing, please mail to: 651 boas streetcentral office, room 625,attn: jen m.harrisburg, pa 17121"
do medical gloves provide protection from coronavirus?,"medical gloves are intended to provide broad barrier protection. please see current recommendations from center for disease control and prevention (cdc) for patients with suspected or confirmed covid-19. at this time, fda has not cleared, approved, or authorized any medical gloves for specific protection against the virus that causes covid-19 or prevention of covid-19 infection."
"my child's school or place of care has moved to online instruction or to another model in which children are expected or required to complete assignments at home. is it ""closed""?","yes. if the physical location where your child received instruction or care is now closed, the school or place of care is “closed” for purposes of paid sick leave and expanded family and medical leave. this is true even if some or all instruction is being provided online or whether, through another format such as “distance learning,” your child is still expected or required to complete assignments."
are agricultural and other forms of cooperatives eligible for ppp?,"as long as other eligibility requirements are met, small agricultural cooperatives may receive ppp loans. other forms of cooperatives may be eligible provided they comply with all other loan program requirements (as defined in 13 cfr 120.10)."
who can complete the social distancing protocol for my business?,the protocol must be completed by someone authorized to complete and sign it on behalf of the business.
should employees in food production settings wear face coverings to prevent exposure to covid-19?,"on friday, april 3rd, the centers for disease control and prevention (cdc) released an updated recommendation on the use of cloth face coverings to help slow the spread of covid-19."
"how do i report the fatality or in-patient hospitalization of an employee with a confirmed, work-related case of covid-19?","you may report a fatality or in-patient hospitalization using any one of the following: call the nearest osha office; call the osha 24-hour hotline at 1-800-321-osha (6742); or by electronic submission, report online. be prepared to supply: business name; name(s) of employee(s) affected; location and time of the incident; brief description of the incident; and contact person and phone number so that osha may follow-up with you (unless you wish to make the report anonymously)."
is the newborn notification requirement continuing during the covid19 emergency?,the newborn notification requirements have not changed and remain in place.
"if i'm in an emergency and there's nothing to clean a wound with, can i use contact lens solution to clean it?","yes, contact solution should work okay. how to make a quick disinfectant for minor cuts and abrasions has some other ideas."
fact: hand dryers are not effective in killing the covid-19 virus,"hand dryers are not effective in killing the covid-19 virus. to protect yourself, frequently clean your hands with an alcohol-based hand rub or wash them with soap and water. once your hands are cleaned, you should dry them thoroughly by using paper towels   or a warm air dryer."
"often employees notify management of their pending or confirmed coivd-19 case several days after they have been in the office or business, in such a case does a business still need to do additional cleaning?","according to the cdc, if more than 7 days have passed since the person who is sick visited the business or facility, enhanced cleaning and disinfection is not necessary. however, the business should continue routine cleaning. if the person who is sick was onsite at the business or facility within 7 days, then the work site should be cleaned and disinfected."
which systems do you use to collect and store data?,"we use several systems, including the state’s notifiable conditions database – the washington disease reporting system (wdrs). it alerts public health agencies to a positive covid-19 test result. all of the systems we use for this work are secure and use multi-factor authentication."
will warm weather stop the outbreak of covid-19?,"from the evidence gathered so far, transmission of the covid-19 virus has not been reduced in the warmer months. it can be transmitted just as easily in hot and humid weather as colder weather. there is much more to learn about the transmissibility, severity and other features associated with covid-19 and investigations are ongoing."
practice good hygiene around animals.,"while animals seem unlikely to be able to spread coronavirus to humans this is still a possibility, and there are a few known cases of animals contracting the virus from humans. if you come into contact with animals of any kind, including pets, always wash your hands carefully. always avoid contact with any animals that are obviously sick."
can i use paid sick leave and expanded family and medical leave and file for pua at the same time?,"generally, no. however, you can apply for pua after exhausting the 12 weeks of paid sick leave and expanded family and medical leave. you must report all income received from any source, including paid leave."
disinfect your hands again after removing your mask.,"after you've thrown your mask away or folded it for washing, use hand sanitizer or wash your hands in soap and warm water for at least 20 seconds. even if you didn't touch the front of the mask, you may still have particles on your hands. if you don't have the opportunity to wash your hands immediately, avoid touching your face, especially your mouth, nose, or eyes, until you've washed your hands."
my five year old sister is autistic and in a wheelchair. we always go to disneyland since we have passes and she loves it. she has been so sad and cries that we can't go. how can i help her?,"tell your sister that you can always have fun at home even if you can't go anywhere during the pandemic. show her some fun backyard ideas you can build together to have fun, like a wheelchair obstacle course, a warm solar shower or a toy garden."
"if i direct my salaried, exempt employees to take vacation (or leave bank deductions) or leave without pay during office closures due to covid-19, will this impact the employee's exempt status?","there is no prohibition against an employer providing vacation time and later requiring that such vacation time be taken on a specific day(s). a private employer may direct exempt staff to take vacation or debit their leave bank account, whether for a full or partial day's absence, provided the employees receive in payment an amount equal to their guaranteed salary."
what has ahcccs done to date to supply financial relief to providers impacted by the covid-19 emergency?,the cares act stipulates that appropriated funds are not to be used to reimburse expenses or losses that have been or will be reimbursed from other sources.
how many ventilators does every hospital in alabama have?,there are approximately 100 hospitals in alabama. we are unable to provide specific numbers of ventilators for each facility. ventilators are being transferred between facilities so the number any specific facility has on hand at any one time may be fluid.
can i get covid-19 from a mosquito or tick bite?,"at this time there is no data to suggest that covid-19, or similar coronaviruses, can be spread through a mosquito or tick bite.  last updated: august 12, 2020"
why did washington state issue a mandate rather than rely on voluntary compliance for face coverings?,"starting in april, the cdc and doh recommended cloth face coverings to help control the spread of respiratory droplets and the virus. while some people voluntarily adopted face coverings, many in washington did not. this mandate recognized the importance of cloth face coverings as a key strategy to reduce transmission of covid-19, especially as we continue to reopen our economy and return to public life."
"why are droplet precautions recommended for other human coronaviruses (229e, nl63, oc43, and hku1), while airborne precautions are recommended for sars-cov-2?",airborne precautions are recommended until more is understood about transmission dynamics of sarscov-2. this recommendation is made in an abundance of caution since this virus is new.
"what should health care providers, laboratories and health departments do?","health care providers and laboratories should report suspect covid-19 cases immediately (within 3 hours) to their local health department, who should report cases to idph within the same time frame. for recommendations and guidance, see the idph coronavirus page or the cdc’s web page 2019 novel coronavirus."
look for an online donation page if you’d rather give money.,"even if the shelter isn’t accepting physical donations, they may still have options to support them financially. look on their website to see if there’s a link that says “donate” or something similar. give as much money as you’re comfortable with to show your support and help keep the animals safe."
"if a worker in my food processing facility/farm has tested positive for covid-19, should i close the facility? if so, for how long? (updated july 17, 2020)","food facilities need to follow protocols set by local and state health departments, which may vary depending on the amount of community spread of covid-19 in a given area. these decisions will be based on public health risk of person-to-person transmission – not based on food safety."
are pregnant women with covid-19 at increased risk for adverse pregnancy outcomes?,"based on what we know now, there may be an increased risk of adverse pregnancy outcomes, such as preterm birth, among pregnant people with covid-19. a small number of other problems, such as preterm (early) birth and other problems with pregnancy and birth, have been reported in babies born to mothers who tested positive for covid-19. we do not know if these problems were related to the virus.therefore, if you are pregnant, be mindful about reducing your risk of getting sick."
how about zoos and museums?,"zoos and museums can open, but occupancy is limited to no more than 25 percent at any given time. guided tours are limited to 50 or few people per group. indoor zoo exhibits are to remain closed and museum hands-on exhibits and touch screens should be closed or modified to eliminate the hands-on component."
wash your hands after taking off the mask.,"when you handle the mask, you could pick up any germs that were trapped on it. always wash your hands right away after removing the mask to avoid spreading germs to yourself. you can use an alcohol-based hand sanitizer if you aren’t near a sink, but wash your hands properly as soon as you can."
"my partner is an emt and still going to work. i am out of work and have been self-quarantining. we do not live together, so what is the proper and responsible way to interact?","try using a video calling service, like skype, facetime, or facebook messenger. since your partner is an emt, they may have become exposed to covid-19, so it's probably best to avoid in-person contact."
"i am / my child is healthy, but recently traveled. the childcare center wants a letter saying that it is ok for me / my child to attend. can vdh provide me with a letter?","if you have any signs of illness, even very mild illness, such as a dry cough, slight fever, chills, shaking chills, muscle pain, headache, sore throat or new loss of taste or smell, it is very important that you stay home and rest. even those with mild illness could pass the infection to others. if you need a letter for work / school, please consult with your healthcare provider."
cut the straps vertically at the point furthest from the uncut fabric.,adjust the remaining fabric as needed so that the 2 sides of the face cover are lined up with one another. smooth the 2 straps down and cut them vertically at the point furthest from the main portion of the mask.  cutting the straps makes it easier to tie the mask as tight as you need it to be.
is it safe to receive a package from an area where covid-19 has been reported?,"yes. the likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes covid-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low."
"act 102 prohibits a health care facility from requiring employees to work more than agreed to, predetermined shifts and regularly scheduled work shifts.during the recent declared state of emergency and in conjunction, with covid-19, is a health care facility permitted to mandate overtime?","act 102 does not prohibit an employer from mandating overtime if unforeseeable emergent circumstances occur.the recent state of emergency during the covid-19 pandemic qualifies as an unforeseeable emergent circumstance.however, a health care facility must still exhaust all reasonable efforts prior to utilization of mandatory overtime."
may my organization’s construction training or apprenticeship program resume?,"yes, as long as all activities follow the safety guidelines in the guidance to construction, and that any classroom portions of the training follow safety measures in the worker safety order."
what is who’s position on use of corticosteroids for the treatment of covid-19?,the current interim guidance from who on clinical management of severe acute respiratory infection when covid-19 infection is suspected advises against the use of corticosteroids unless indicated for another reason.[8]this guidance is based on several systematic reviews that cite lack of effectiveness and possible harm from routine treatment with corticosteroids for viral pneumonia or acute respiratory distress syndrome.[9]
does the fda have recommendations on patterns or templates to manufacture gloves?,the fda does not have patterns or templates for medical gloves to share with the public or recommendations regarding materials beyond those listed in the standards referred to in the previous answer.
what are the face covering requirements in the order issued july 2?,the order requires compliance with the california department of public health’s guidance for the use of face     coverings.
can my educational documents and/or transcripts be submitted electronically?,"the office of the professions will accept official electronic transcripts and/or form 2 applications from educational institutions (i.e. colleges/universities) or designated third-party transcript entities located in the united states. instructions and information on the criteria required for these submissions are available on each professions’ application forms page, under the electronic education documentation section."
"i could possibly be off school for a couple months because of spreading illness and i'm worried about my friends, family and keeping up with schoolwork all at the same time, i am in year 1, advice?","remember that everyone else at your school is going through the same thing, and your teachers are going to be very understanding when you go back. use social media to keep in touch with your friends and family, but don't put too much pressure on yourself to try to manage everything all at once. give yourself plenty of downtime, and find things to do that make you feel relaxed and calm, like meditating, drawing, listening to music, reading, or playing a game on your phone."
i am self-employed and my income and hours have declined greatly because of covid-19. am i eligible for pua?,"self-employed individuals, independent contractors, or gig workers who are unable to work because of covid-19 and have had to suspend their work may be eligible for pua."
"if i contracted covid-19 at work, is that a work-related injury or disease?","an illness caused by work exposures can be considered an injury or an occupational disease. occupational diseases are those identified by the pa workers' compensation act, as well as the diseases that occur more often in specific jobs or industries. exposure to covid-19, which resulted in the illness, would most likely be considered an injury, but could also be an occupational disease depending on the type of work performed."
what kind of personal information does a contact tracer ask for?,"a contract tracer will ask for your date of birth, address, race, and ethnicity. contact tracers will never ask for or write down your immigration status, social security number, or for banking or financial information or ask for any payment."
can you use a coffee filter for the mask filter?,"the fabrics are better than coffee filters but if you only have coffee filters you can. for filters, if they can filter water that is dirty, then it's a good filter."
rest is a key component to your daily activity regimen,maintaining a proper sleep schedule and allowing your body some time off from high intense training can provide it with time to heal and rejuvenate. many injuries occur from a lack of proper sleep or when your body is physically tired. it is important to show up each day well-rested.
how does the test work?,"viral pcr tests work by detecting specific genetic material within the virus. when you give a sample, it’s compared against the sars-cov-2 virus, to see if it’s a match."
"will accessing a food pantry or picking up a ""grab and go"" meal or receiving food delivery hurt my ability to apply for a green card or make me a ""public charge""?","no. these services are not part of the public benefits considered under the public charge rule and will not hurt your ability to apply for a green card. if you have questions about public charge, and how accessing certain public benefits may affect immigration status, call the free, confidential actionnyc hotline at 800-354-0365 and say 'public charge' for information and connections to legal help."
can the virus be transmitted through mosquito bites?,there is no evidence to suggest so far that this virus can be transmitted through mosquitoes. references https://www.mosquito.org/news/492656/can-mosquitoes-transmit-the-coronavirus.htm https://www.cdc.gov/coronavirus/2019-ncov/prepare/transmission.html https://www.who.int/images/default-source/health-topics/coronavirus/myth-busters/mb-mosquito-bite.png drafted 23 march 2020
medicaid applicants need to sign the ahcccs application form. how is a signature captured when an individual applies online or by phone and does not submit a paper application?,"when an individual applies using the heaplus.gov online application, the system captures an electronic signature. when an individual applies over the phone, the state employee or community assistor captures a voice signature. during the covid-19 public health emergency, community assistors are authorized to obtain verbal consent to act on the applicant's behalf and complete the application."
"if stable, healthy clients/patients who get in-home services have flu-like illness, should agencies stop with care in those homes?","contact your local health department about clients/patients with flu-like symptoms and covid-19 testing help. if a client does have covid-19, local health will decide if and when to quarantine. if quarantine is at home, staff should use strict infection control practices to limit risks and may want to provide only basic needs."
am i eligible for uc if my employer offers me the ability to telework/telecommute/work from home?,"if your employer offers you telework and you are able to perform that work, you are not eligible for uc. however, if the telework your employer offers results in a reduction of hours, you may be eligible for uc benefits."
what do we do if we need to temporarily close our pharmacy due to a potential covid-19 exposure?,"as per 8 nycrr §63.6(a)(5), you must notify the board of pharmacy within 48 hours of the closure by completing the following form. please send this form to pharmbd@nysed.gov. covid-19 related closures must follow the guidance for health care facilities recommended by the cdc and the new york state department of health."
"if a patient is being evaluated and tested for covid-19 and the healthcare providers decide hospitalization is warranted, but the patient refuses to stay can they be legally held?","yes. the virginia department of health (vdh) can serve temporary legal orders that require a hospital to isolate the patient and, if necessary, detain the patient until vdh determines that the patient no longer represents a potential threat to the public."
do i need to self-quarantine after surgery?,quarantine is only necessary if you have been exposed to a person with covid-19 or if you have tested positive.
i'm able to telework. can i collect benefits under pua?,"no. if you are able to telework with pay or declined an option to telework for the same number of hours, you are not eligible for pua."
why are animals being tested when many people can’t get tested?,"animals are only being tested in very rare circumstances. routine testing of animals is not recommended at this time, and any tests done on animals are done on a case by case basis. for example, if the pet of a covid-19 patient has a new, concerning illness with symptoms similar to those of covid-19, the animal’s veterinarian might consult with public health and animal health officials to determine if testing is needed."
can i telework?,all state agency employees whose job responsibilities can be performed through telework and who are authorized to telework must do so. contact your supervisor to consider options given your job responsibilities. you can find telework resources for employees on mnit’s website and sharepoint telework page.
figure out your routine.,"due to the covid-19 situation, you will mostly have fewer things to do and might get bored too. since you likely won't go to school, dress up too well, or will hang out with your friends, you will have to make a routine in which you can keep yourself occupied, and can find time for the important things too."
contribute to this how-to manual,. there are many fun ways to help out on wikihow's community dashboard!
what should i do if i don’t have enough preliminary data for my application?,"applicants should always submit the best application possible. if preliminary data is lacking, the applicant should consider waiting to submit a stronger application for a later due date."
health and fitness?,"health and fitness facilities may operate at a maximum 50 percent occupancy at any given time. members should wear face coverings over their nose and mouth whenever not exercising. saunas, hot tubs, and steam rooms are to remain closed."
find time to do things that you enjoy.,"during such a situation, you'd want to find time to do things that you love, and strive to do such as art, dancing, singing, and making videos for youtube. these things should be done, but you must do work which is important and necessary first, and find time for the other things later."
"if i do not feel comfortable reporting to work, do i need to report to the worksite?","if you are in a population particularly susceptible to covid-19 and are directed by a medical professional or government official to quarantine or self-isolate, you may be eligible for paid leave mandated by the families first coronavirus response act (ffcra), unemployment compensation (uc), or existing paid leave available through your employer. visit our covid-19 guidance & resource site for more information on ffcra and uc."
